ZGHP_PARA_AFFECTOT                                                                                           27.08.2026 /
11:02:43
* SERVICE         :  PARA
* POSTE DE TRAVAIL:  %%%%%%%%
* O.T.            :  %%%%%%%%
* PERIODE de       :  20220101   a   20260827                                                                     PAGE :
    1
------------------------------------------------------------------------------------------------------------------------------
         D A T E     T  POSTE TR  LIBELLE POSTE TRAV.                        AFFECT      HEURES              TRANSF
         --------    -  --------  -------------------                        ------      ------              ------
    ** OT:  00005188F576 = REDRESSAGE DES POUTRELLES
         20220905    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-52200           3,0          X
         20220906    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-52200           5,0          X
         20220907    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-52200           4,0          X
         20220908    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-52200           3,0          X
         20220909    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-52200           4,0          X
         20220913    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-52200           5,0          X
         20220914    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-52200           4,0          X
         20220916    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-52200           8,0          X
         20220919    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-52200           8,0          X
         20220922    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-52200           4,0          X
         20221103    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-52200           8,0          X
         20221104    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-52200           8,0          X
         20221108    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-52200           7,0          X
         20221109    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-52200           6,0          X
         20221110    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-52200           7,0          X
         20221111    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-52200           7,0          X
         20221115    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-52200           6,0          X
         20221116    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-52200           8,0          X
         20221117    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-52200           4,0          X
         20221122    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-52200           1,0          X
         **TOTAL OT:                                                                          110,0
    ** OT:  00005188F577 = MISE A LONGUEUR DES POUTRELLES
         20230526    0  PELEPAR0  PADI/PARA/ROBOT                            50-52300           6,0          X
         **TOTAL OT:                                                                            6,0
    ** OT:  00005188F578 = REPARATION PAR SOUDAGE DES POUTRES
         20230103    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-52300          16,0          X
         20230104    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-52300          16,0          X
         20230105    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-52300           8,0          X
         20230109    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-52300          16,0          X
         20230110    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-52300          16,0          X
         20230111    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-52300          16,0          X
         20230112    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-52300          16,0          X
         20230113    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-52300          16,0          X
         20230116    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-52300          16,0          X
         20230117    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-52300          16,0          X
         20230118    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-52300          16,0          X
         20230119    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-52300          16,0          X
         20230120    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-52300          16,0          X
         20230123    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-52300          16,0          X
         20230124    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-52300          16,0          X
         20230125    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-52300          16,0          X
         20230126    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-52300          16,0          X
         20230130    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-52300          16,0          X
         20230202    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-52300           8,0          X
         **TOTAL OT:                                                                          288,0
    ** OT:  00005188Z005 = 1100612384 EIFFAGE PONT DE LA LEYSSE
         20220103    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100          16,0          X
         20220103    0  PELEPAF1  PADI/PARA/FORAGE NUMERIQUE                 50-36100           8,0          X
         20220103    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           4,0          X
         20220103    0  PELEPAR0  PADI/PARA/ROBOT                            50-36100           8,0          X
         20220103    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100          16,0          X
         20220104    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100          16,0          X
         20220104    0  PELEPAR0  PADI/PARA/ROBOT                            50-36100           8,0          X
         20220104    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100          21,0          X
         20220105    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100          16,0          X
         20220105    0  PELEPAR0  PADI/PARA/ROBOT                            50-36100           8,0          X
         20220105    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100          24,0          X
         20220106    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100          16,0          X
         20220106    0  PELEPAG0  PADI/PARA/GOUJONNAGE                       50-36100           8,0          X
         20220106    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100          24,0          X
         20220107    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100          16,0          X
         20220107    0  PELEPAG0  PADI/PARA/GOUJONNAGE                       50-36100           8,0          X
         20220107    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100          24,0          X
         20220110    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100          16,0          X
         20220110    0  PELEPAG0  PADI/PARA/GOUJONNAGE                       50-36100           8,0          X
         20220110    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100          32,0          X
         20220110    0  PELEPAT0  PADI/PARA/CONTROLE CND                     50-36100           2,0          X
         20220111    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100          16,0          X
         20220111    0  PELEPAG0  PADI/PARA/GOUJONNAGE                       50-36100           8,0          X
         20220111    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100          32,0          X
         20220111    0  PELEPAT0  PADI/PARA/CONTROLE CND                     50-36100           2,0          X
         20220112    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100          16,0          X
         20220112    0  PELEPAG0  PADI/PARA/GOUJONNAGE                       50-36100           8,0          X
         20220112    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100          24,0          X
         20220112    0  PELEPAT0  PADI/PARA/CONTROLE CND                     50-36100           2,0          X
         20220113    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100          16,0          X
         20220113    0  PELEPAG0  PADI/PARA/GOUJONNAGE                       50-36100           8,0          X
         20220113    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100          24,0          X
         20220113    0  PELEPAT0  PADI/PARA/CONTROLE CND                     50-36100           2,0          X
         20220114    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           8,0          X
         20220114    0  PELEPAG0  PADI/PARA/GOUJONNAGE                       50-36100           8,0          X
         20220114    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100          24,0          X
         20220114    0  PELEPAT0  PADI/PARA/CONTROLE CND                     50-36100           2,0          X
         20220117    0  PELEPAG0  PADI/PARA/GOUJONNAGE                       50-36100           8,0          X
         20220117    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100          16,0          X
         20220117    0  PELEPAT0  PADI/PARA/CONTROLE CND                     50-36100           2,0          X
         20220118    0  PELEPAG0  PADI/PARA/GOUJONNAGE                       50-36100           8,0          X
         20220118    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100          24,0          X
         20220118    0  PELEPAT0  PADI/PARA/CONTROLE CND                     50-36100           3,0          X
         20220119    0  PELEPAG0  PADI/PARA/GOUJONNAGE                       50-36100           8,0          X
         20220119    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100          24,0          X
         20220119    0  PELEPAT0  PADI/PARA/CONTROLE CND                     50-36100           1,0          X
         20220120    0  PELEPAG0  PADI/PARA/GOUJONNAGE                       50-36100           8,0          X
         20220120    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100          24,0          X
         20220120    0  PELEPAT0  PADI/PARA/CONTROLE CND                     50-36100           1,0          X
         20220121    0  PELEPAG0  PADI/PARA/GOUJONNAGE                       50-36100           8,0          X
         20220121    0  PELEPAT0  PADI/PARA/CONTROLE CND                     50-36100           2,0          X
         20220124    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100          24,0          X
         20220125    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100           8,0          X
         20220125    0  PELEPAT0  PADI/PARA/CONTROLE CND                     50-36100           2,0          X
         20220126    0  PELEPAG0  PADI/PARA/GOUJONNAGE                       50-36100           8,0          X
         **TOTAL OT:                                                                          678,0
    ** OT:  00005188Z117 = 1100631064 BUDIMEX WS5.7
         20220103    0  PELEPAG0  PADI/PARA/GOUJONNAGE                       50-36100           8,0          X
         20220103    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100           8,0          X
         20220104    0  PELEPAG0  PADI/PARA/GOUJONNAGE                       50-36100           8,0          X
         20220104    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100           3,0          X
         20220105    0  PELEPAG0  PADI/PARA/GOUJONNAGE                       50-36100           8,0          X
         **TOTAL OT:                                                                           35,0
    ** OT:  00005188Z128 = 1100633635 CIMOLAI PASSERELLE BELVAL
         20220103    0  PELEPAC0  PADI/PARA/CASSE MACHINE                    50-36100           2,0          X
         20220103    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           7,5          X
         20220126    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           8,0          X
         20220128    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           8,0          X
